Date,Price,Open,High,Low,Vol,Change
13-Jan-06,"1,645.24","1,638.09","1,646.39","1,635.92",-,0.44%
12-Jan-06,"1,638.09","1,650.98","1,659.17","1,635.33",-,-0.70%
11-Jan-06,"1,649.67","1,617.62","1,649.67","1,617.62",-,2.06%
10-Jan-06,"1,616.41","1,616.90","1,622.41","1,604.28",-,-0.29%
9-Jan-06,"1,621.12","1,616.81","1,637.49","1,616.81",-,0.30%
6-Jan-06,"1,616.29","1,597.69","1,623.68","1,597.69",-,1.02%
5-Jan-06,"1,599.91","1,610.52","1,616.30","1,593.95",-,-0.66%
4-Jan-06,"1,610.52","1,602.55","1,615.92","1,595.60",-,0.53%
3-Jan-06,"1,602.00","1,563.43","1,602.00","1,563.43",-,2.98%
2-Jan-06,"1,555.67","1,545.14","1,557.43","1,542.62",-,0.80%
29-Dec-05,"1,543.31","1,538.58","1,544.98","1,529.29",-,0.37%
28-Dec-05,"1,537.59","1,533.08","1,546.78","1,532.67",-,0.29%
27-Dec-05,"1,533.08","1,554.35","1,564.00","1,526.85",-,-1.15%
26-Dec-05,"1,550.96","1,529.67","1,550.96","1,524.74",-,1.43%
23-Dec-05,"1,529.12","1,517.34","1,530.18","1,513.67",-,0.85%
22-Dec-05,"1,516.24","1,491.27","1,517.38","1,491.27",-,1.67%
21-Dec-05,"1,491.27","1,489.36","1,509.83","1,487.17",-,0.13%
20-Dec-05,"1,489.36","1,502.44","1,512.73","1,488.57",-,-0.87%
19-Dec-05,"1,502.44","1,524.50","1,531.62","1,498.94",-,-1.45%
16-Dec-05,"1,524.50","1,556.52","1,557.89","1,523.55",-,-1.96%
15-Dec-05,"1,554.99","1,525.57","1,554.99","1,514.06",-,1.93%
14-Dec-05,"1,525.57","1,516.67","1,528.50","1,513.26",-,0.67%
13-Dec-05,"1,515.42","1,521.89","1,525.49","1,502.89",-,-0.43%
12-Dec-05,"1,521.89","1,538.84","1,548.05","1,516.84",-,-0.87%
9-Dec-05,"1,535.28","1,535.87","1,544.99","1,524.56",-,0.64%
7-Dec-05,"1,525.53","1,558.67","1,575.87","1,521.92",-,-2.13%
6-Dec-05,"1,558.67","1,560.48","1,566.07","1,549.77",-,-0.11%
5-Dec-05,"1,560.39","1,545.34","1,580.30","1,545.34",-,1.08%
2-Dec-05,"1,543.68","1,523.61","1,562.48","1,523.61",-,1.57%
1-Dec-05,"1,519.86","1,558.42","1,574.24","1,519.86",-,-2.24%
30-Nov-05,"1,554.67","1,533.31","1,554.68","1,533.31",-,1.38%
29-Nov-05,"1,533.47","1,555.83","1,555.83","1,516.36",-,-1.48%
28-Nov-05,"1,556.52","1,629.63","1,630.57","1,535.10",-,-4.49%
25-Nov-05,"1,629.63","1,631.83","1,641.61","1,625.90",-,-0.11%
24-Nov-05,"1,631.47","1,626.92","1,631.47","1,619.55",-,0.25%
23-Nov-05,"1,627.38","1,624.30","1,638.96","1,624.30",-,0.10%
22-Nov-05,"1,625.73","1,606.96","1,625.73","1,606.71",-,1.17%
21-Nov-05,"1,606.96","1,607.67","1,612.18","1,601.52",-,0.20%
18-Nov-05,"1,603.75","1,602.04","1,611.23","1,596.90",-,0.18%
17-Nov-05,"1,600.84","1,584.58","1,615.66","1,584.58",-,1.03%
16-Nov-05,"1,584.58","1,573.04","1,584.58","1,553.44",-,0.75%
15-Nov-05,"1,572.84","1,595.05","1,595.41","1,571.45",-,-1.39%
14-Nov-05,"1,594.94","1,591.95","1,598.49","1,586.54",-,0.15%
11-Nov-05,"1,592.51","1,582.81","1,602.42","1,579.47",-,0.71%
10-Nov-05,"1,581.28","1,589.67","1,590.07","1,566.66",-,-0.70%
9-Nov-05,"1,592.43","1,617.27","1,629.36","1,590.65",-,-1.43%
8-Nov-05,"1,615.59","1,642.34","1,645.55","1,611.52",-,-1.90%
7-Nov-05,"1,646.92","1,671.42","1,674.31","1,631.88",-,-1.50%
4-Nov-05,"1,672.01","1,683.53","1,685.45","1,661.47",-,-0.68%
3-Nov-05,"1,683.53","1,640.61","1,690.40","1,640.61",-,2.72%
2-Nov-05,"1,638.95","1,622.03","1,638.95","1,621.01",-,1.08%
1-Nov-05,"1,621.48","1,609.41","1,628.04","1,608.60",-,0.78%
31-Oct-05,"1,608.86","1,604.79","1,626.25","1,601.84",-,0.39%
28-Oct-05,"1,602.63","1,579.64","1,602.63","1,573.39",-,1.58%
27-Oct-05,"1,577.67","1,610.89","1,612.16","1,575.10",-,-1.99%
26-Oct-05,"1,609.78","1,587.67","1,611.90","1,587.10",-,2.08%
25-Oct-05,"1,577.02","1,624.72","1,632.22","1,574.77",-,-2.84%
24-Oct-05,"1,623.16","1,594.21","1,629.82","1,594.21",-,1.89%
21-Oct-05,"1,593.11","1,574.46","1,596.34","1,569.76",-,1.30%
20-Oct-05,"1,572.69","1,601.59","1,602.84","1,569.85",-,-1.80%
19-Oct-05,"1,601.59","1,589.77","1,601.59","1,556.26",-,0.73%
18-Oct-05,"1,589.97","1,610.51","1,612.37","1,585.58",-,-1.47%
17-Oct-05,"1,613.68","1,603.71","1,616.93","1,603.71",-,0.62%
14-Oct-05,"1,603.71","1,587.17","1,612.46","1,578.42",-,1.11%
13-Oct-05,"1,586.09","1,603.79","1,603.79","1,556.77",-,-1.15%
12-Oct-05,"1,604.56","1,644.42","1,656.57","1,589.44",-,-2.40%
11-Oct-05,"1,643.96","1,661.12","1,661.12","1,628.70",-,-0.72%
7-Oct-05,"1,655.90","1,624.77","1,657.44","1,624.77",-,2.15%
6-Oct-05,"1,621.02","1,647.37","1,655.26","1,608.32",-,-1.60%
5-Oct-05,"1,647.37","1,687.25","1,688.34","1,634.56",-,-2.36%
4-Oct-05,"1,687.25","1,731.91","1,738.44","1,681.09",-,-2.55%
3-Oct-05,"1,731.33","1,698.23","1,734.01","1,698.23",-,2.15%
30-Sep-05,"1,694.83","1,712.06","1,725.81","1,694.83",-,-0.88%
29-Sep-05,"1,709.89","1,688.17","1,710.48","1,684.77",-,1.31%
28-Sep-05,"1,687.78","1,669.53","1,690.86","1,669.53",-,1.16%
27-Sep-05,"1,668.49","1,663.98","1,675.90","1,652.60",-,0.31%
26-Sep-05,"1,663.38","1,659.63","1,664.29","1,655.47",-,0.27%
23-Sep-05,"1,658.84","1,652.38","1,662.92","1,650.25",-,0.39%
22-Sep-05,"1,652.38","1,659.54","1,664.28","1,635.16",-,-0.40%
21-Sep-05,"1,658.95","1,646.91","1,665.78","1,646.01",-,0.90%
20-Sep-05,"1,644.19","1,649.95","1,663.49","1,642.14",-,-0.35%
19-Sep-05,"1,649.95","1,638.60","1,654.13","1,637.19",-,1.34%
16-Sep-05,"1,628.13","1,629.56","1,640.95","1,625.66",-,-0.09%
15-Sep-05,"1,629.56","1,618.71","1,643.80","1,618.71",-,0.71%
14-Sep-05,"1,618.10","1,589.51","1,619.93","1,589.51",-,1.81%
13-Sep-05,"1,589.31","1,586.00","1,591.32","1,581.17",-,0.12%
12-Sep-05,"1,587.40","1,611.47","1,615.33","1,586.76",-,-1.49%
9-Sep-05,"1,611.47","1,615.97","1,624.02","1,603.19",-,-0.25%
8-Sep-05,"1,615.58","1,609.83","1,625.53","1,607.64",-,0.47%
7-Sep-05,"1,608.03","1,606.31","1,608.16","1,592.98",-,0.04%
6-Sep-05,"1,607.41","1,611.69","1,623.74","1,593.83",-,-0.18%
